[2025-08-30T13:09:58.516Z] [ERROR] [T+8m] SSE sse-replace-1756559209360-1 request error: 
[2025-08-30T13:09:58.516Z] [ERROR] [T+8m] SSE sse-replace-1756559209360-0 request error: 
[2025-08-30T13:09:58.517Z] [ERROR] [T+8m] SSE sse-replace-1756559209360-3 request error: 
[2025-08-30T13:09:58.517Z] [ERROR] [T+8m] SSE sse-replace-1756559209360-2 request error: 
[2025-08-30T13:10:08.544Z] [ERROR] [T+8m] Run 1df7e19a-b451-42d5-82a5-947daadbe80f failed: 
[2025-08-30T13:10:18.474Z] [ERROR] [T+8m] ❌ Availability check error: 
[2025-08-30T13:10:28.553Z] [ERROR] [T+8m] Run 15f4a424-d3ca-468f-a73d-8fb2d643e67a failed: 
[2025-08-30T13:10:48.480Z] [ERROR] [T+9m] ❌ Availability check error: 
[2025-08-30T13:10:48.557Z] [ERROR] [T+9m] Run da346249-8b4e-42d2-88fd-4d53c09bb876 failed: 
[2025-08-30T13:11:08.565Z] [ERROR] [T+9m] Run acc0b47b-a0a9-451a-ae33-aab7f212c537 failed: 
[2025-08-30T13:11:18.490Z] [ERROR] [T+9m] ❌ Availability check error: 
[2025-08-30T13:11:28.568Z] [ERROR] [T+9m] Run a9060b0c-76ad-46ba-ae2b-c3a79a4c1195 failed: 
[2025-08-30T13:11:48.350Z] [HEARTBEAT] [T+10m] 💓 S2 alive — t=10m, active SSE=20, runs started=29
[2025-08-30T13:11:48.351Z] [INFO] [T+10m] 🔄 SSE churn: closing 4/20 clients
[2025-08-30T13:11:48.353Z] [ERROR] [T+10m] Registry pulse error: 
[2025-08-30T13:11:48.354Z] [ERROR] [T+10m] Metrics capture error: 
[2025-08-30T13:11:48.491Z] [ERROR] [T+10m] ❌ Availability check error: 
[2025-08-30T13:11:48.568Z] [ERROR] [T+10m] Run 714be331-0dd7-4d0a-85fe-d1a73c469cc4 failed: 
[2025-08-30T13:11:49.354Z] [INFO] [T+10m] 🔄 SSE churn: replaced 4 clients
[2025-08-30T13:11:49.356Z] [ERROR] [T+10m] SSE sse-replace-1756559509353-0 request error: 
[2025-08-30T13:11:49.356Z] [ERROR] [T+10m] SSE sse-replace-1756559509354-1 request error: 
[2025-08-30T13:11:49.356Z] [ERROR] [T+10m] SSE sse-replace-1756559509354-2 request error: 
[2025-08-30T13:11:49.357Z] [ERROR] [T+10m] SSE sse-replace-1756559509354-3 request error: 
[2025-08-30T13:11:50.856Z] [ERROR] [T+10m] SSE sse-replace-1756559509353-0 request error: 
[2025-08-30T13:11:50.857Z] [ERROR] [T+10m] SSE sse-replace-1756559509354-1 request error: 
[2025-08-30T13:11:50.857Z] [ERROR] [T+10m] SSE sse-replace-1756559509354-2 request error: 
[2025-08-30T13:11:50.857Z] [ERROR] [T+10m] SSE sse-replace-1756559509354-3 request error: 
[2025-08-30T13:11:53.836Z] [ERROR] [T+10m] SSE sse-replace-1756559509353-0 request error: 
[2025-08-30T13:11:53.837Z] [ERROR] [T+10m] SSE sse-replace-1756559509354-1 request error: 
[2025-08-30T13:11:53.838Z] [ERROR] [T+10m] SSE sse-replace-1756559509354-2 request error: 
[2025-08-30T13:11:53.838Z] [ERROR] [T+10m] SSE sse-replace-1756559509354-3 request error: 
[2025-08-30T13:11:59.807Z] [ERROR] [T+10m] SSE sse-replace-1756559509353-0 request error: 
[2025-08-30T13:11:59.808Z] [ERROR] [T+10m] SSE sse-replace-1756559509354-1 request error: 
[2025-08-30T13:11:59.808Z] [ERROR] [T+10m] SSE sse-replace-1756559509354-2 request error: 
[2025-08-30T13:11:59.809Z] [ERROR] [T+10m] SSE sse-replace-1756559509354-3 request error: 
[2025-08-30T13:12:08.577Z] [ERROR] [T+10m] Run 0a957c65-68dd-4477-9970-593bb3664180 failed: 
[2025-08-30T13:12:11.731Z] [ERROR] [T+10m] SSE sse-replace-1756559509353-0 request error: 
